timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_ema_fast_period,param_ema_slow_period,param_adx_period,param_adx_min,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T21:33:31,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/548db14b7093c7e02603bc6c4a2cc8ce,20,1.0,1.5,20,4,0.5,20,60,14,30,0.0,0.0,56.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:34:21,BTCUSDT,train,4,EMA Trend + ADX,-3.95,https://www.quantconnect.com/project/28937164/50e44923aead8d10bcbad51a84a36022,10,1.0,2.0,48,4,0.15,10,50,10,25,0.0,0.0,329.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:35:17,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,2.5,2.5,20,4,0.15,20,60,20,30,,,,,,,,,,,,,,
2026-03-14T21:34:57,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/a4f3c68d33d64ac1ea4ef02c849266e8,14,1.0,2.5,48,4,0.5,25,60,14,30,0.0,0.0,55.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:35:22,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/447f44fd2efe90e7dbbe851c5029bfa6,20,2.5,2.0,20,6,0.15,25,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:35:50,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/4a70d5700dc25f81d38b057d45308613,14,1.0,2.5,72,10,0.5,20,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:37:07,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,14,1.0,2.5,48,4,0.15,20,60,20,30,,,,,,,,,,,,,,
2026-03-14T21:36:47,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/d3259f3f282e23c159bca95988ce8825,10,2.0,2.0,72,1,0.15,10,40,14,35,0.0,0.0,19.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:38:31,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,2.5,1.0,96,6,0.15,25,60,20,35,,,,,,,,,,,,,,
2026-03-14T21:38:07,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/a897558be738ca9d3f294e19028e7965,14,2.0,3.0,96,1,0.5,25,60,14,35,0.0,0.0,24.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
